"id","name","code","account_type","tag_ids","reconcile","name@fr"
"pcg_1011","Subscribed capital - uncalled","101100","equity","","False","Capital souscrit - non appelé"
"pcg_1012","Subscribed capital - called up, unpaid","101200","equity","","False","Capital souscrit - appelé non versé"
"pcg_1013","Subscribed capital - called up, paid","101300","equity","","False","Capital souscrit - appelé versé"
"pcg_1041","Share premiums","104100","equity","","False","Primes d'émission"
"pcg_1042","Merger premiums","104200","equity","","False","Primes de fusion"
"pcg_1043","Contribution premiums","104300","equity","","False","Primes d'apport"
"pcg_1044","Premiums on conversion of bonds into shares","104400","equity","","False","Primes de conversion d'obligations en actions"
"pcg_1052","Voluntary revaluation difference","105200","equity","","False","Ecart de réévaluation libre"
"pcg_1058","Other revaluation differences outside France","105800","equity","","False","Autre écart de réévaluation à l'étranger"
"pcg_1061","Legal reserve","106100","equity","","False","Réserve légale"
"pcg_1062","Undistributable reserves","106200","equity","","False","Réserves facultatives"
"pcg_1063","Statutory or contractual reserves","106300","equity","","False","Réserves statutaires ou concratuelles"
"pcg_1064","Tax-regulated reserves","106400","equity","","False","Réserves réglementées"
"pcg_1068","Other reserves","106800","equity","","False","Autres réserves"
"pcg_107","Difference on equity accounted investments","107000","equity","","False","Ecart d'équivalence"
"pcg_108","Drawings account","108000","equity","","False","Compte de l'exploitant"
"pcg_109","Shareholders: Subscribed capital uncalled","109000","equity","","False","Actionnaires, capital souscrit non appelé"
"pcg_110","Profit carried forward","110000","equity","","False","Report à nouveau solde créditeur"
"pcg_119","Loss carried forward","119000","equity","","False","Report à nouveau solde débiteur"
"pcg_120","Profit for the financial year","120000","equity","","False","Résultat de l'exercice (bénéfice)"
"pcg_128","Résultat en instance d'affectation","128000","equity_unaffected","","False","Résultat en instance d'affectation"
"pcg_129","Loss for the financial year","129000","equity","","False","Résultat de l'exercice (perte)"
"pcg_1311","Equipment grants - State","131100","equity","","False","Subvention d'équipement - Etat"
"pcg_1312","Equipment grants - Regions","131200","equity","","False","Subvention d'équipement - Régions"
"pcg_1313","Equipment grants - Departments","131300","equity","","False","Subvention d'équipement - Départements"
"pcg_1314","Equipment grants - Municipalities","131400","equity","","False","Subvention d'équipement - Communes"
"pcg_1315","Equipment grants - Public authorities","131500","equity","","False","Subvention d'équipement - Collectivités publiques"
"pcg_1316","Equipment grants - Public enterprises","131600","equity","","False","Subvention d'équipement - Entreprises publiques"
"pcg_1317","Equipment grants - Enterprises and private bodies","131700","equity","","False","Subvention d'équipement - Entreprises et organismes privés"
"pcg_1318","Equipment grants - Other","131800","equity","","False","Subvention d'équipement - Autres"
"pcg_132","Autres subventions d'investissement","132000","equity","","False","Autres subventions d'investissement"
"pcg_133","Impôts différés actif","133000","asset_current","","False","Impôts différés actif"
"pcg_134","Impôts différés passif","134000","asset_current","","False","Impôts différés passif"
"pcg_138","Other investment grants (same allocation as for Account 131)","138000","equity","","False","Autres produits et charges différés "
"pcg_153","Provisions for pensions and similar obligations","153000","liability_current","","False","Provisions pour pensions et obligations similaires"
"pcg_155","Provisions for taxation","155000","liability_current","","False","Provisions pour impôts "
"pcg_156","Provisions for fixed asset renewal (concession entities)","156000","liability_current","","False","Provisions pour renouvellement des immobilisations (concession)"
"pcg_158","Autres provisions pour charges - passifs non courants","158000","liability_current","","False","Autres provisions pour charges - passifs non courants"
"pcg_161","Convertible debenture loans","161000","liability_current","","False","Emprunts obligataires convertibles"
"pcg_163","Other debenture loans","163000","liability_current","","False","Autres emprunts obligataires"
"pcg_1641","Emprunts à LT à plus d'un an","164100","liability_current","","False","Emprunts à LT à plus d'un an"
"pcg_1642","Emprunts à MT à moins d'un an","164200","liability_current","","False","Emprunts à MT à moins d'un an"
"pcg_165","Dépôts et cautionnements reçus","165000","liability_current","","False","Dépôts et cautionnements reçus"
"pcg_167","Dettes sur contrat de location-financement","167000","liability_current","","False","Dettes sur contrat de location-financement"
"pcg_1681","Other loans and similar debts payable - Other loans","168100","liability_current","","False","Autres emprunts"
"pcg_1688","Accrued interest","168800","liability_current","","False","Intérêts courus"
"pcg_169","Debt redemption premiums","169000","asset_current","","False","Primes de remboursement des obligations"
"pcg_171","Debts payable related to participating interests (group)","171000","liability_current","","False","Dettes rattachées à des participations groupe"
"pcg_172","Dettes rattachées à des participations hors groupe","172000","asset_current","","False","Dettes rattachées à des participations hors groupe"
"pcg_173","Dettes rattachées à des sociétés en participation","173000","asset_current","","False","Dettes rattachées à des sociétés en participation"
"pcg_1781","Debts payable related to joint ventures - Principal","178100","liability_current","","False","Principal"
"pcg_1788","Debts payable related to joint ventures - Accrued interest","178800","liability_current","","False","Intérêts courus"
"pcg_181","Reciprocal branch accounts","181000","liability_current","","False","Comptes de liaison entre établissements"
"pcg_188","Reciprocal joint venture accounts","188000","liability_current","","False","Comptes de liaison entre sociétés en participation"
"pcg_203","Intangible fixed assets - Research and development costs","203000","asset_fixed","","False","Immo Incorp: Frais de développement immobilisables"
"pcg_204","Immo Incorp: Logiciels informatiques et assimilés","204000","asset_fixed","","False","Immo Incorp: Logiciels informatiques et assimilés"
"pcg_205","Intangible fixed assets - Concessions and similar rights, patents, licences, trade marks, processes, software, rights and similar assets","205000","asset_fixed","","False","Immo Incorp: Concessions et droits similaires, brevets, licences, marques"
"pcg_207","Intangible fixed assets - Goodwill","207000","asset_fixed","","False","Immo Incorp: Fonds commercial"
"pcg_208","Other intangible fixed assets","208000","asset_fixed","","False","Autres immobilisations incorporelles"
"pcg_211","Immo Corp: Terrains","211000","asset_fixed","","False","Immo Corp: Terrains"
"pcg_212","Intangible fixed assets - Site development (same allocation as for Account 211)","212000","asset_fixed","","False","Immo Corp: Agencements et aménagements de terrain"
"pcg_2131","Buildings","213100","asset_fixed","","False","Bâtiments"
"pcg_2135","Intangible fixed assets - Building fixtures and fittings (same allocation as for Account 2131)","213500","asset_fixed","","False","Constructions - Installations générales, agencements, aménagements"
"pcg_2151","Installations complexes spécialisées","215100","asset_fixed","","False","Installations complexes spécialisées"
"pcg_2154","Intangible fixed assets - Plant and machinery","215400","asset_fixed","","False","Matériel industriel"
"pcg_2155","Intangible fixed assets - Equipment and fixtures","215500","asset_fixed","","False","Outillage industriel"
"pcg_2157","Intangible fixed assets - Fixtures and fittings for plant and machinery, equipment and fixtures","215700","asset_fixed","","False","Agencements et aménagements du matériel et outillage industriel"
"pcg_2181","Intangible fixed assets - Sundry general fixtures and fittings","218100","asset_fixed","","False","Installations générales, agencements, aménagements"
"pcg_2182","Intangible fixed assets - Transport equipment","218200","asset_fixed","","False","Matériel de transport"
"pcg_2183","Intangible fixed assets - Office and computing equipment","218300","asset_fixed","","False","Matériel de bureau et matériel informatique"
"pcg_2184","Intangible fixed assets - Furnishings","218400","asset_fixed","","False","Mobilier"
"pcg_2185","Intangible fixed assets - Livestock","218500","asset_fixed","","False","Cheptel"
"pcg_2186","Intangible fixed assets - Recoverable packaging","218600","asset_fixed","","False","Matériel d'emballage"
"pcg_221","Terrains en concession","221000","asset_fixed","","False","Terrains en concession"
"pcg_222","Agencements et aménagements de terrain en concession","222000","asset_fixed","","False","Agencements et aménagements de terrain en concession"
"pcg_223","Constructions en concession","223000","asset_fixed","","False","Constructions en concession"
"pcg_225","Installations techniques en concession","225000","asset_fixed","","False","Installations techniques en concession"
"pcg_228","Autres immobilisations corporelles en concession","228000","asset_fixed","","False","Autres immobilisations corporelles en concession"
"pcg_229","Droits du concédant ","229000","asset_fixed","","False","Droits du concédant "
"pcg_232","Intangible fixed assets in progress","232000","asset_fixed","","False","Immobilisations corporelles en cours"
"pcg_237","Payments on account on intangible fixed assets","237000","asset_fixed","","False","Immobilisations incorporelles en cours"
"pcg_238","Avances et acomptes versés sur commandes d'immobilisations ","238000","asset_fixed","","False","Avances et acomptes versés sur commandes d'immobilisations "
"pcg_2611","Long-term equity interests - Shares","261100","asset_fixed","","False","Titres de participation - Actions"
"pcg_2612","Titres de participation - Autres titres","261200","asset_fixed","","False","Titres de participation - Autres titres"
"pcg_2618","Other securities","261800","asset_fixed","","False","Titres de participation - Intérêts courus"
"pcg_262","Autres formes de participations","262000","asset_fixed","","False","Autres formes de participations"
"pcg_265","Titres de participation évalués par équivalence","265000","asset_fixed","","False","Titres de participation évalués par équivalence"
"pcg_266","Other categories of participating interest","266000","asset_fixed","","False","Créances rattachées à des participations groupe"
"pcg_2671","Debts receivable related to participating interests (group)","267100","asset_fixed","","False","Créances rattachées à des participations (groupe)"
"pcg_2674","Debts receivable related to participating interests (apart from group)","267400","asset_fixed","","False","Créances rattachées à des participations (hors groupe)"
"pcg_268","Créances rattachées à des sociétés en participation","268000","asset_fixed","","False","Créances rattachées à des sociétés en participation"
"pcg_269","Unpaid instalments on unpaid long-term equity interests","269000","asset_fixed","","False","Versements restant à effectuer sur titres de participation non libérés"
"pcg_2711","Long-term investment equity securities other than portfolio long-term investment equity securities - Shares","271100","asset_fixed","","False","Titres immobilisés hors portefeuille: Actions"
"pcg_2712","Titres immobilisés hors portefeuille: Autres titres","271200","asset_fixed","","False","Titres immobilisés hors portefeuille: Autres titres"
"pcg_272","Titres représentatifs de droit de créance (obligations, bons)","272000","asset_fixed","","False","Titres représentatifs de droit de créance (obligations, bons)"
"pcg_273","Portfolio long-term investment securities","273000","asset_fixed","","False","Titres immobilisés de l'activité de portefeuille"
"pcg_2741","Participating loans","274100","asset_fixed","","False","Prêts à + d'un an : Prêts participatifs"
"pcg_2742","Loans to partners/associates","274200","asset_fixed","","False","Prêts à + d'un an : Prêts aux associés"
"pcg_2743","Loans to personnel","274300","asset_fixed","","False","Prêts à + d'un an : Prêts au personnel"
"pcg_2745","Prêts à LT","274500","asset_fixed","","False","Prêts à LT"
"pcg_2746","Prêts à CT","274600","asset_fixed","","False","Prêts à CT"
"pcg_2748","Other loans","274800","asset_fixed","","False","Autres prêts"
"pcg_2751","Deposits","275100","asset_fixed","","False","Dépôts et cautionnements versés (garantis)"
"pcg_276","Autres créances immobilisées","276000","asset_fixed","","False","Autres créances immobilisées"
"pcg_277","Actions propres (ou parts propres)","277000","asset_fixed","","False","Actions propres (ou parts propres)"
"pcg_279","Unpaid instalments on unpaid long-term investment securities","279000","asset_fixed","","False","Versements restant à effectuer sur titres immobilisés non libérés"
"pcg_2803","Depreciation on intangible fixed assets - Research and development costs","280300","asset_fixed","","False","Amortissements - Frais de développement immobilisables"
"pcg_2804","Amortissements - Logiciels informatiques et assimilés","280400","asset_fixed","","False","Amortissements - Logiciels informatiques et assimilés"
"pcg_2805","Depreciation on intangible fixed assets - Concessions and similar rights, patents, licences, software, rights and similar assets","280500","asset_fixed","","False","Amortissements - Concessions et droits similaires, brevets, licences, marques"
