"id","sequence","name","auto_apply","vat_required","country_id","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","name@fr"
"fiscal_position_template_domestic","1","Domestic - Madagascar","1","","","","","","Domestique - Madagascar"
"fiscal_position_template_import_export","50","Import/Export","1","","","","tva_normale","tva_sale_good_export_0","Import/Export"
"","","","","","","","tva_normale","tva_sale_service_export_0",""
"","","","","","","","tva_normale_ttc","tva_sale_service_export_0",""
"","","","","","","","tva_normale_encaissement","tva_sale_service_export_0",""
"","","","","","","","tva_normale_encaissement_ttc","tva_sale_service_export_0",""
"","","","","","","","tva_acq_normale","tva_import_20",""
"","","","","","","","tva_acq_encaissement","tva_import_20",""
"","","","","","","","tva_acq_encaissement_TTC","tva_import_20",""
"","","","","","","","tva_imm_normale","tva_import_20",""
"","","","","","","","tva_acq_normale_TTC","tva_import_20",""
"","","","","","","","tva_purchase_imm_normale","tva_import_20",""
