"id","name","description","invoice_label","amount","amount_type","sequence","type_tax_use","tax_scope","include_base_amount","tax_group_id","price_include","active","tax_exigibility","cash_basis_transition_account_id","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","description@fr"
"tva_acq_normale","20% G","20% Goods","TVA 20%","20.0","percent","9","purchase","consu","1","tax_group_tva_20","","","","","100","base","invoice","","","20% M"
"","","","","","","","","","","","","","","","100","tax","invoice","pcg_44560","",""
"","","","","","","","","","","","","","","","100","base","refund","","",""
"","","","","","","","","","","","","","","","100","tax","refund","pcg_44560","",""
"tva_purchase_good_fuel","20% F","20% Fuels","TVA 20%","20.0","percent","9","purchase","consu","1","tax_group_tva_20","","","","","100","base","invoice","","","20% Carburant"
"","","","","","","","","","","","","","","","80","tax","invoice","pcg_44560","",""
"","","","","","","","","","","","","","","","20","tax","invoice","","",""
"","","","","","","","","","","","","","","","100","base","refund","","",""
"","","","","","","","","","","","","","","","80","tax","refund","pcg_44560","",""
"","","","","","","","","","","","","","","","20","tax","refund","","",""
"tva_purchase_good_fuel_TTC","20% F INC","20% fuel tax incl.","TVA 20%","20.0","percent","9","purchase","consu","1","tax_group_tva_20","True","","","","100","base","invoice","","","20% Carburant TTC"
"","","","","","","","","","","","","","","","80","tax","invoice","pcg_44560","",""
"","","","","","","","","","","","","","","","20","tax","invoice","","",""
"","","","","","","","","","","","","","","","100","base","refund","","",""
"","","","","","","","","","","","","","","","80","tax","refund","pcg_44560","",""
"","","","","","","","","","","","","","","","20","tax","refund","","",""
"tva_acq_normale_TTC","20% G INC","20% Goods tax incl.","TVA 20%","20.0","percent","10","purchase","consu","","tax_group_tva_20","True","","","","100","base","invoice","","","20% M TTC"
"","","","","","","","","","","","","","","","100","tax","invoice","pcg_44560","",""
"","","","","","","","","","","","","","","","100","base","refund","","",""
"","","","","","","","","","","","","","","","100","tax","refund","pcg_44560","",""
"tva_imm_normale","20% R E ","20% real estate","TVA 20%","20.0","percent","10","purchase","consu","1","tax_group_tva_20","","","","","100","base","invoice","","","20% Immo"
"","","","","","","","","","","","","","","","100","tax","invoice","pcg_44562","",""
"","","","","","","","","","","","","","","","100","base","refund","","",""
"","","","","","","","","","","","","","","","100","tax","refund","pcg_44562","",""
"tva_purchase_service_20_import","20% EX","20% IMPORT","TVA 20%","20.0","percent","10","purchase","service","1","tax_group_tva_20","","","","","100","base","invoice","","","20% Import"
"","","","","","","","","","","","","","","","100","tax","invoice","pcg_44560","",""
"","","","","","","","","","","","","","","","-100","tax","invoice","pcg_4454","",""
"","","","","","","","","","","","","","","","100","base","refund","","",""
"","","","","","","","","","","","","","","","100","tax","refund","pcg_44560","",""
"","","","","","","","","","","","","","","","-100","tax","refund","pcg_4454","",""
"tva_purchase_service_0","0% EX","0% EXO","TVA 0%","0.0","percent","10","purchase","service","1","tax_group_tva_0","","","on_invoice","pcg_44572","100","base","invoice","","","0% EXO"
"","","","","","","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","","","","","","100","base","refund","","",""
